Payer Name,Payer ID,Batch ID,Payment Date,Upload Date,Payment #,Payment Method,Tax Id,NPI #,Provider Name,Total Charge,Total Pay,Documents,835 Retrieval,Work Status
SENIOR WHOLE HEALTH,83035,1567257127,8/5/2020,8/6/2020,081000600947251,ACH,300964826,1780123364,SARAH CARE USA,"$10,366.20 ","$9,664.20 ",Not Printed,Retrieved,Unworked
SENIOR WHOLE HEALTH,83035,1569495063,8/12/2020,8/13/2020,081000601032429,ACH,300964826,1780123364,SARAH CARE USA,"$13,548.60 ","$9,781.98 ",Not Printed,Retrieved,Unworked
SENIOR WHOLE HEALTH,83035,1571932853,8/19/2020,8/20/2020,081000601138456,ACH,300964826,1780123364,SARAH CARE USA,"$10,155.60 ","$9,664.20 ",Not Printed,Retrieved,Unworked
SENIOR WHOLE HEALTH,83035,1461864800,8/28/2019,8/29/2019,081000606981208,ACH,300964826,1780123364,SARAH CARE USA,"$13,127.40 ","$13,127.40 ",Not Printed,Retrieved,Unworked
SENIOR WHOLE HEALTH,83035,1464632091,9/5/2019,9/6/2019,081000607075346,ACH,300964826,1780123364,SARAH CARE USA,"$14,765.40 ","$14,309.10 ",Not Printed,Retrieved,Unworked
SENIOR WHOLE HEALTH,83035,1466495705,9/11/2019,9/12/2019,081000607146780,ACH,300964826,1780123364,SARAH CARE USA,"$13,946.40 ","$13,478.40 ",Not Printed,Retrieved,Unworked
SENIOR WHOLE HEALTH,83035,1468975912,9/18/2019,9/19/2019,081000607228437,ACH,300964826,1780123364,SARAH CARE USA,"$13,946.40 ","$13,478.40 ",Not Printed,Retrieved,Unworked
SENIOR WHOLE HEALTH,83035,1471267730,9/25/2019,9/26/2019,081000607319179,ACH,300964826,1780123364,SARAH CARE USA,"$13,946.40 ","$13,946.40 ",Not Printed,Retrieved,Unworked
SENIOR WHOLE HEALTH,83035,1473757096,10/2/2019,10/3/2019,081000607408571,ACH,300964826,1780123364,SARAH CARE USA,"$11,676.60 ","$11,676.60 ",Not Printed,Retrieved,Unworked
SENIOR WHOLE HEALTH,83035,1476226934,10/9/2019,10/10/2019,081000607496129,ACH,300964826,1780123364,SARAH CARE USA,"$16,216.20 ","$16,216.20 ",Not Printed,Retrieved,Unworked
SENIOR WHOLE HEALTH,83035,1479123999,10/17/2019,10/18/2019,081000607594123,ACH,300964826,1780123364,SARAH CARE USA,"$21,738.60 ","$17,163.90 ",Not Printed,Retrieved,Unworked
SENIOR WHOLE HEALTH,83035,1481071961,10/23/2019,10/24/2019,081000607671831,ACH,300964826,1780123364,SARAH CARE USA,"$13,852.80 ","$13,347.60 ",Not Printed,Retrieved,Unworked
SENIOR WHOLE HEALTH,83035,1483582869,10/30/2019,10/31/2019,081000607759895,ACH,300964826,1780123364,SARAH CARE USA,"$15,303.60 ","$15,303.60 ",Not Printed,Retrieved,Unworked
SENIOR WHOLE HEALTH,83035,1486146244,11/6/2019,11/7/2019,081000607851921,ACH,300964826,1780123364,SARAH CARE USA,"$15,069.60 ","$15,678.00 ",Not Printed,Retrieved,Unworked
SENIOR WHOLE HEALTH,83035,1489090960,11/14/2019,11/15/2019,081000607946125,ACH,300964826,1780123364,SARAH CARE USA,"$13,829.40 ","$13,753.35 ",Not Printed,Retrieved,Unworked
SENIOR WHOLE HEALTH,83035,1491009092,11/20/2019,11/21/2019,081000608021982,ACH,300964826,1780123364,SARAH CARE USA,"$13,829.40 ","$13,051.35 ",Not Printed,Retrieved,Unworked
SENIOR WHOLE HEALTH,83035,1493797134,11/27/2019,11/28/2019,081000608121429,ACH,300964826,1780123364,SARAH CARE USA,"$14,812.20 ","$14,905.80 ",Not Printed,Retrieved,Unworked
SENIOR WHOLE HEALTH,83035,1495521825,12/4/2019,12/5/2019,081000608188271,ACH,300964826,1780123364,SARAH CARE USA,"$14,250.60 ","$14,250.60 ",Not Printed,Retrieved,Unworked
SENIOR WHOLE HEALTH,83035,1500265310,12/18/2019,12/19/2019,081000608367699,ACH,300964826,1780123364,SARAH CARE USA,"$28,501.20 ","$28,349.10 ",Not Printed,Retrieved,Unworked
SENIOR WHOLE HEALTH,83035,1502954261,12/26/2019,12/27/2019,081000608462088,ACH,300964826,1780123364,SARAH CARE USA,"$14,250.60 ","$14,133.60 ",Printed,Retrieved,Unworked
SENIOR WHOLE HEALTH,83035,1504874441,1/2/2020,1/3/2020,081000608541782,ACH,300964826,1780123364,SARAH CARE USA,"$14,250.60 ","$14,250.60 ",Not Printed,Retrieved,Unworked
SENIOR WHOLE HEALTH,83035,1506728698,1/8/2020,1/9/2020,081000608616602,ACH,300964826,1780123364,SARAH CARE USA,"$12,682.80 ","$12,834.90 ",Not Printed,Retrieved,Unworked
SENIOR WHOLE HEALTH,83035,1508475971,1/15/2020,1/16/2020,081000608693599,ACH,300964826,1780123364,SARAH CARE USA,"$14,086.80 ","$13,969.80 ",Not Printed,Retrieved,Unworked
SENIOR WHOLE HEALTH,83035,1511801189,1/23/2020,1/26/2020,081000608786347,ACH,300964826,1780123364,SARAH CARE USA,"$13,127.40 ","$12,753.00 ",Not Printed,Retrieved,Unworked
SENIOR WHOLE HEALTH,83035,1512982201,1/29/2020,1/30/2020,081000608853464,ACH,300964826,1780123364,SARAH CARE USA,"$13,431.60 ","$13,431.60 ",Not Printed,Retrieved,Unworked
SENIOR WHOLE HEALTH,83035,1515295658,2/5/2020,2/6/2020,081000608938490,ACH,300964826,1780123364,SARAH CARE USA,"$13,431.60 ","$13,431.60 ",Not Printed,Retrieved,Unworked
SENIOR WHOLE HEALTH,83035,1517611839,2/12/2020,2/13/2020,081000609025018,ACH,300964826,1780123364,SARAH CARE USA,"$12,542.40 ","$12,542.40 ",Not Printed,Retrieved,Unworked
SENIOR WHOLE HEALTH,83035,1520788659,2/20/2020,2/23/2020,081000609121617,ACH,300964826,1780123364,SARAH CARE USA,"$12,682.80 ","$12,220.65 ",Not Printed,Retrieved,Unworked
SENIOR WHOLE HEALTH,83035,1522192314,2/26/2020,2/27/2020,081000609193349,ACH,300964826,1780123364,SARAH CARE USA,"$10,717.20 ","$10,155.60 ",Printed,Retrieved,Unworked
SENIOR WHOLE HEALTH,83035,1524478419,3/4/2020,3/5/2020,081000609270847,ACH,300964826,1780123364,SARAH CARE USA,"$12,378.60 ","$12,852.45 ",Not Printed,Retrieved,Unworked
SENIOR WHOLE HEALTH,83035,1526852438,3/11/2020,3/12/2020,081000609363612,ACH,300964826,1780123364,SARAH CARE USA,"$13,431.60 ","$13,525.20 ",Printed,Retrieved,Unworked
SENIOR WHOLE HEALTH,83035,1529255618,3/18/2020,3/19/2020,081000609446416,ACH,300964826,1780123364,SARAH CARE USA,"$14,531.40 ","$14,227.20 ",Not Printed,Retrieved,Unworked
SENIOR WHOLE HEALTH,83035,1531604002,3/25/2020,3/26/2020,081000609528282,ACH,300964826,1780123364,SARAH CARE USA,"$13,150.80 ","$12,782.25 ",Not Printed,Retrieved,Unworked
SENIOR WHOLE HEALTH,83035,1533727640,4/1/2020,4/2/2020,081000609614981,ACH,300964826,1780123364,SARAH CARE USA,"$13,104.00 ","$13,104.00 ",Printed,Retrieved,Unworked
SENIOR WHOLE HEALTH,83035,1535679810,4/8/2020,4/9/2020,081000609688874,ACH,300964826,1780123364,SARAH CARE USA,"$13,244.40 ","$13,548.60 ",Not Printed,Retrieved,Unworked
SENIOR WHOLE HEALTH,83035,1537314787,4/15/2020,4/16/2020,081000609761776,ACH,300964826,1780123364,SARAH CARE USA,"$13,806.00 ","$13,700.70 ",Not Printed,Retrieved,Unworked
SENIOR WHOLE HEALTH,83035,1539073521,4/22/2020,4/23/2020,081000609827755,ACH,300964826,1780123364,SARAH CARE USA,"$12,870.00 ","$12,179.70 ",Printed,Retrieved,Unworked
SENIOR WHOLE HEALTH,83035,1541004190,4/29/2020,5/1/2020,081000609893428,ACH,300964826,1780123364,SARAH CARE USA,"$11,957.40 ","$11,957.40 ",Printed,Retrieved,Unworked
SENIOR WHOLE HEALTH,83035,1542504347,5/6/2020,5/8/2020,081000609957082,ACH,300964826,1780123364,SARAH CARE USA,"$12,846.60 ","$12,846.60 ",Printed,Retrieved,Unworked
SENIOR WHOLE HEALTH,83035,1480206386,10/21/2019,10/22/2019,PMT00000610565,NON,300964826,1780123364,SARAH CARE USA,$748.80 ,$0.00 ,Not Printed,Retrieved,Unworked
SENIOR WHOLE HEALTH,83035,1482719814,10/28/2019,10/29/2019,PMT00000614442,NON,300964826,1780123364,SARAH CARE USA,"$1,450.80 ",$0.00 ,Not Printed,Retrieved,Unworked
SENIOR WHOLE HEALTH,83035,1485193059,11/4/2019,11/5/2019,PMT00000617245,NON,300964826,1780123364,SARAH CARE USA,$702.00 ,$0.00 ,Not Printed,Retrieved,Unworked
SENIOR WHOLE HEALTH,83035,1487658793,11/11/2019,11/12/2019,PMT00000619603,NON,300964826,1780123364,SARAH CARE USA,$702.00 ,$0.00 ,Not Printed,Retrieved,Unworked
SENIOR WHOLE HEALTH,83035,1560182971,7/13/2020,7/14/2020,PMT00000719887,NON,300964826,1780123364,SARAH CARE USA,$351.00 ,$0.00 ,Printed,Retrieved,Unworked
SENIOR WHOLE HEALTH,83035,1562271836,7/20/2020,7/21/2020,PMT00000722386,NON,300964826,1780123364,SARAH CARE USA,$819.00 ,$0.00 ,Not Printed,Retrieved,Unworked
SENIOR WHOLE HEALTH,83035,1573410409,8/24/2020,8/25/2020,PMT00000738636,NON,300964826,1780123364,SARAH CARE USA,"$10,296.00 ",$0.00 ,Not Printed,Retrieved,Unworked
,,,,,,,,,Total,"$691,376.40 ","$662,715.93 ",,,
